O7,pot wt,FC,Dry matter,H2O,75% FC,target 75%,car+frame,,
F2,980,2026,326,1700,1275,1666,5016,,
,,1912,326,1586,1189.5,1580.5,4930.5,,
ZM7,pot wt,FC,DM,H20,75% FC,75% FC total,car etc,frame,LT target
F2,1010,1836,335,1501,1125.75,1460.75,2960,390,4810.75
